neigh_id,date,propertyCode,neigh_name,price,RFD
Q980253,2020_12_07,91596665,El Poble Sec - Parc de Montjuïc,205000,82.2
Q980253,2020_01_02,92606493,El Poble Sec - Parc de Montjuïc,745000,82.2
Q980253,2020_12_07,91519451,El Poble Sec - Parc de Montjuïc,170000,82.2
Q980253,2020_12_07,93195119,El Poble Sec - Parc de Montjuïc,290000,82.2
Q980253,2020_12_07,93189866,El Poble Sec - Parc de Montjuïc,184000,82.2
Q980253,2020_12_07,89302500,El Poble Sec - Parc de Montjuïc,225000,82.2
Q980253,2020_12_07,89142606,El Poble Sec - Parc de Montjuïc,170000,82.2
Q980253,2020_12_07,92406936,El Poble Sec - Parc de Montjuïc,243000,82.2
Q980253,2020_12_07,88242367,El Poble Sec - Parc de Montjuïc,187000,82.2
Q980253,2020_12_07,92928892,El Poble Sec - Parc de Montjuïc,320000,82.2
Q980253,2020_04_15,91700522,El Poble Sec - Parc de Montjuïc,649000,82.2
Q980253,2020_01_02,92599247,El Poble Sec - Parc de Montjuïc,219000,82.2
Q980253,2020_12_07,92444757,El Poble Sec - Parc de Montjuïc,350000,82.2
Q980253,2020_12_07,91871241,El Poble Sec - Parc de Montjuïc,275000,82.2
Q980253,2020_12_07,86459955,El Poble Sec - Parc de Montjuïc,487000,82.2
Q980253,2020_01_24,91881933,El Poble Sec - Parc de Montjuïc,440000,82.2
Q980253,2020_12_07,93160602,El Poble Sec - Parc de Montjuïc,209000,82.2
Q980253,2020_12_07,92225592,El Poble Sec - Parc de Montjuïc,199000,82.2
Q980253,2020_12_07,92620108,El Poble Sec - Parc de Montjuïc,266200,82.2
Q980253,2020_12_07,93059440,El Poble Sec - Parc de Montjuïc,280000,82.2
Q980253,2021_02_24,92382754,El Poble Sec - Parc de Montjuïc,259000,82.2
Q980253,2020_12_07,92608258,El Poble Sec - Parc de Montjuïc,299000,82.2
Q980253,2020_06_01,92248147,El Poble Sec - Parc de Montjuïc,295000,82.2
Q980253,2020_12_07,92776783,El Poble Sec - Parc de Montjuïc,243000,82.2
Q980253,2020_12_07,92221093,El Poble Sec - Parc de Montjuïc,82000,82.2
Q980253,2020_12_07,93164981,El Poble Sec - Parc de Montjuïc,250000,82.2
Q980253,2020_12_07,92549831,El Poble Sec - Parc de Montjuïc,99000,82.2
Q980253,2020_12_07,92502219,El Poble Sec - Parc de Montjuïc,350000,82.2
Q980253,2020_12_07,92559380,El Poble Sec - Parc de Montjuïc,250000,82.2
Q980253,2020_12_07,89332783,El Poble Sec - Parc de Montjuïc,360000,82.2
Q980253,2020_04_15,91948705,El Poble Sec - Parc de Montjuïc,290000,82.2
Q980253,2020_01_24,92536462,El Poble Sec - Parc de Montjuïc,440000,82.2
Q980253,2020_12_07,87480457,El Poble Sec - Parc de Montjuïc,261500,82.2
Q980253,2020_12_07,92200877,El Poble Sec - Parc de Montjuïc,250000,82.2
Q980253,2020_12_07,93186044,El Poble Sec - Parc de Montjuïc,243000,82.2
Q980253,2020_12_07,92558543,El Poble Sec - Parc de Montjuïc,399000,82.2
Q980253,2020_12_07,92023215,El Poble Sec - Parc de Montjuïc,81000,82.2
Q980253,2020_12_07,92377770,El Poble Sec - Parc de Montjuïc,215000,82.2
Q980253,2020_12_07,88086727,El Poble Sec - Parc de Montjuïc,390000,82.2
Q980253,2020_12_07,90921467,El Poble Sec - Parc de Montjuïc,290000,82.2
Q980253,2020_01_02,91446250,El Poble Sec - Parc de Montjuïc,190000,82.2
Q980253,2020_12_07,92164477,El Poble Sec - Parc de Montjuïc,360000,82.2
Q980253,2020_12_07,92950828,El Poble Sec - Parc de Montjuïc,185000,82.2
